,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
DDR1,2.02381154862459e-70,0.613342890444249,0.076,0.863,3.96909920916254e-66,3,DDR1
NIT2,2.09092527113534e-70,0.269648065921448,0.097,0.909,4.10072264175064e-66,3,NIT2
EPN1,2.45974175661657e-70,0.422821538551228,0.051,0.815,4.82404553307641e-66,3,EPN1
SS18L2,2.50082684264631e-70,0.879280592573173,0.059,0.834,4.90462160379793e-66,3,SS18L2
MGAT4B,3.25425277015747e-70,0.3567533547784,0.076,0.869,6.38224053283282e-66,3,MGAT4B
PRELID3B,3.38241233389222e-70,0.351862879109579,0.119,0.951,6.63358706922942e-66,3,PRELID3B
SF3B3,3.42697719340865e-70,0.277557549470448,0.114,0.941,6.72098767171305e-66,3,SF3B3
SMARCE1,3.5202747584911e-70,0.456583861122478,0.114,0.948,6.90396285635274e-66,3,SMARCE1
CAT,4.50510971058131e-70,0.399031649696659,0.072,0.853,8.83542116439206e-66,3,CAT
GOSR1,4.54730002774242e-70,0.259598476585141,0.042,0.794,8.91816481440843e-66,3,GOSR1
MRPL541,5.02863627797464e-70,0.25226440532413,0.072,0.858,9.86216146836386e-66,3,MRPL54
GRHPR,5.04528621654583e-70,0.560431763290915,0.068,0.84,9.89481532788968e-66,3,GRHPR
